"","Year","country_code","country_name","lfpr_female","family_benefits_exp","per_female_tertiary","position_guarantee","mandatory_leave_days","employment_services","epl_score","female_politicians"
"222",2015,"MLT","Malta",41.6110000610352,NA,55.90194,"Yes",12.9,78.5780029296875,NA,12.9
"223",2015,"NLD","Netherlands",58.2029991149902,NA,52.30756,"Yes",36.4,81.2490005493164,NA,36.4
"224",2015,"POL","Poland",48.9959983825684,NA,59.03867,"Yes",24.8,57.9290008544922,NA,24.8
"225",2015,"PRT","Portugal",53.7770004272461,NA,53.27001,"Yes",34.8,68.1210021972656,NA,34.8
"226",2015,"ROU","Romania",45.1940002441406,NA,53.66369,"Yes",12,45.9550018310547,NA,12
"227",2015,"SVK","Slovak Republic",51.9980010986328,NA,59.5759,"Yes",18.7,60.7089996337891,NA,18.7
"228",2015,"SVN","Slovenia",52.0340003967285,NA,58.17371,"No",27.7,60.9150009155273,NA,27.7
"229",2015,"ESP","Spain",52.3160018920898,NA,53.14381,"Yes",38,75.9729995727539,NA,38
"230",2015,"SWE","Sweden",60.6220016479492,NA,59.19866,"Yes",43.6,79.6750030517578,NA,43.6
"231",2015,"GBR","United Kingdom",56.5530014038086,NA,56.14819,"Yes",26.7,80.2070007324219,NA,26.7
"232",2015,"USA","United States",55.8320007324219,NA,56.23702,"Yes",19.5,79.4860000610352,NA,19.5
"233",2016,"AUT","Austria",54.9469985961914,NA,53.04907,NA,30.3,70.088996887207,NA,30.3
"234",2016,"BEL","Belgium",47.765998840332,NA,55.69205,NA,42.4,77.4860000610352,NA,42.4
"235",2016,"BGR","Bulgaria",47.7630004882813,NA,53.91647,NA,20.4,63.4570007324219,NA,20.4
"236",2016,"HRV","Croatia",45.5559997558594,NA,56.85021,NA,12.6,65.4229965209961,NA,12.6
"237",2016,"CYP","Cyprus",58.0690002441406,NA,NA,NA,17.9,79.3059997558594,NA,17.9
"238",2016,"CZE","Czech Republic",52.0660018920898,NA,57.31688,NA,19.6,59.0270004272461,NA,19.6
"239",2016,"DNK","Denmark",59.3120002746582,NA,56.36836,NA,37.4,78.8249969482422,NA,37.4
"240",2016,"EST","Estonia",56.4729995727539,NA,58.71761,NA,23.8,66.3830032348633,NA,23.8
"241",2016,"FIN","Finland",54.9539985656738,NA,53.27581,NA,41.5,73.9789962768555,NA,41.5
"242",2016,"FRA","France",50.6749992370605,NA,54.41298,NA,25.7,76.8339996337891,NA,25.7
"243",2016,"DEU","Germany",54.9599990844727,NA,48.24954,NA,36.9,71.3099975585938,NA,36.9
